English,Chinese,Pinyin
She made a movie of it.,她把它拍成了电影。,tā bǎ tā pāichéng le diànyǐng 。
She made me do a ton of things this morning.,今天早上她让我做了很多事情。,jīntiān zǎoshang tā ràng wǒ zuò le hěnduō shìqing 。
She made me do a ton of things today.,她今天让我做了很多事情。,tā jīntiān ràng wǒ zuò le hěnduō shìqing 。
She painted a small painting in the village.,她在村子里画了一幅小画。,tā zài cūnzi lǐ huà le yīfú xiǎohuà 。
She painted it in the small village.,她在小村庄里画的。,tā zài xiǎo cūnzhuāng lǐ huà de 。
She painted this painting in the small village.,这幅画是她在小村庄里画的。,zhèfú huà shì tā zài xiǎo cūnzhuāng lǐ huà de 。
She remained for six months.,她在那里呆了六个月。,tā zài nàli dāi le liùgèyuè 。
She remained in a small village.,她留在了一个小村庄。,tā liúzài le yīgè xiǎo cūnzhuāng 。
She remained in the village with the little boy.,她和小男孩留在村里。,tā hé xiǎonánhái liúzài cūnlǐ 。
She remained in Tuscany for a long time.,她在托斯卡纳停留了很长一段时间。,tā zài tuōsīkǎnà tíngliú le hěncháng yīduànshíjiān 。
She told me a few interesting things.,她告诉我一些有趣的事情。,tā gàosu wǒ yīxiē yǒuqù de shìqing 。
She told me that they’re so interesting.,她告诉我它们很有趣。,tā gàosu wǒ tāmen hěn yǒuqù 。
She too goes there sometimes.,她有时也去那里。,tā yǒushí yě qù nàli 。
She traveled all over the world.,她走遍了世界各地。,tā zǒubiàn le shìjiègèdì 。
She travels a lot now.,她现在经常旅行。,tā xiànzài jīngcháng lǚxíng 。
She was a champion skier.,她是滑雪冠军。,tā shì huáxuě guànjūn 。
She was already a celebrity.,她已经是名人了。,tā yǐjīng shì míngrén le 。
She was also a great cook.,她也是一位出色的厨师。,tā yě shì yīwèi chūsè de chúshī 。
She was an exceptional cook.,她是一位出色的厨师。,tā shì yīwèi chūsè de chúshī 。
She was born in Tuscany.,她出生在托斯卡纳。,tā chūshēng zài tuōsīkǎnà 。
She was next to me on the bus.,公交车上她就在我旁边。,gōngjiāochē shàng tā jiù zài wǒ pángbiān 。
She was next to me on the train.,火车上她就在我旁边。,huǒchē shàng tā jiù zài wǒ pángbiān 。
She wasn’t next to me on the train.,火车上她不在我旁边。,huǒchē shàng tā bù zài wǒ pángbiān 。
She will do an exhibition.,她将举办一个展览。,tā jiàng jǔbàn yīgè zhǎnlǎn 。
She writes a lot of e-mails to our children.,她给我们的孩子写了很多电子邮件。,tā gěi wǒmen de háizi xiě le hěnduō diànzǐyóujiàn 。
She’ll do the exhibition with us.,她将和我们一起做展览。,tā jiàng hé wǒmen yīqǐ zuò zhǎnlǎn 。
She’s already a celebrity.,她已经是名人了。,tā yǐjīng shì míngrén le 。
She’s already well known.,她已经很出名了。,tā yǐjīng hěn chūmíng le 。
She’s been playing for five years with my two daughters.,她已经和我的两个女儿一起玩了五年了。,tā yǐjīng hé wǒ de liǎnggè nǚér yīqǐ wán le wǔnián le 。
She’s coming here with some friends.,她和一些朋友一起来这里。,tā hé yīxiē péngyou yī qǐlai zhèlǐ 。
She’s coming with her husband.,她和她丈夫一起来。,tā hé tā zhàngfu yī qǐlai 。
She’s learning Italian at school.,她正在学校学习意大利语。,tā zhèngzài xuéxiào xuéxí yìdàlìyǔ 。
She’s looking for a new job.,她正在寻找新工作。,tā zhèngzài xúnzhǎo xīn gōngzuò 。
She’s married to a chef from Cortona.,她嫁给了一位来自科尔托纳的厨师。,tā jiàgěi le yīwèi láizì kēěrtuō nà de chúshī 。
She’s my best friend.,她是我最好的朋友。,tā shì wǒ zuìhǎo de péngyou 。
She’s on a beautiful trip with her boyfriend now.,她现在正在和男朋友一起进行一次美好的旅行。,tā xiànzài zhèngzài hé nánpéngyou yīqǐ jìnxíng yīcì měihǎo de lǚxíng 。
She’s over there.,她在那边。,tā zài nàbian 。
She’s taking a professional training course.,她正在参加专业培训课程。,tā zhèngzài cānjiā zhuānyèpéixùn kèchéng 。
She’s traveling with her best friend.,她和她最好的朋友一起旅行。,tā hé tā zuìhǎo de péngyou yīqǐ lǚxíng 。
"She’s very good, and well-known.",她非常优秀，而且很有名。,tā fēicháng yōuxiù ， érqiě hěn yǒumíng 。
She’s well-known all over the world.,她在世界各地都很有名。,tā zài shìjiègèdì dū hěn yǒumíng 。
Should we buy the tickets?,我们应该买票吗？,wǒmen yīnggāi mǎipiào ma ？
"Sign here at the bottom, please.",请在底部签名。,qǐng zài dǐbù qiānmíng 。
"Sign here at the top, please.",请在顶部签名。,qǐng zài dǐngbù qiānmíng 。
Since a few days.,几天以来。,jǐtiān yǐlái 。
Since how long have you lived here?,你在这里住了多久了？,nǐ zài zhèlǐ zhù le duōjiǔ le ？
Since how long?,从多久开始？,cóng duōjiǔ kāishǐ ？
Sirmione is famous for the hot springs treatments.,西尔苗内以温泉护理而闻名。,xīěr miáonèi yǐ wēnquán hùlǐ ér wénmíng 。
Sirmione is well-known.,西尔苗内是众所周知的。,xīěr miáonèi shì zhòngsuǒzhōuzhī de 。
Sixty-five miles per hour.,每小时六十五英里。,měi xiǎoshí liùshíwǔ yīnglǐ 。
Some wine.,一些酒。,yīxiē jiǔ 。
Someone called twenty minutes ago.,二十分钟前有人打来电话。,èrshífēnzhōng qián yǒurén dǎ lái diànhuà 。
Someone can help you with your luggage.,有人可以帮助您搬运行李。,yǒurén kěyǐ bāngzhù nín bānyùn xíngli 。
Something for my wife.,给我妻子的东西。,gěi wǒ qīzi de dōngxi 。
Something happened?,发生了一些事？,fāshēng le yīxiē shì ？
Something.,某物。,mǒuwù 。
Sometimes I drink white wine.,有时我喝白葡萄酒。,yǒushí wǒ hē báipútaojiǔ 。
Sometimes it rains a lot.,有时会下很大的雨。,yǒushí huìxià hěndà de yǔ 。
Sometimes.,有时。,yǒushí 。
Sorry if I disturb you.,对不起，如果我打扰到你。,duìbuqǐ ， rúguǒ wǒ dǎrǎodào nǐ 。
Stay calm!,保持冷静！,bǎochí lěngjìng ！
"Stefania is very good, and well-known.",Stefania 非常优秀，而且很有名。,stefania   fēicháng yōuxiù ， érqiě hěn yǒumíng 。
Stefania’s assistant called me yesterday.,斯特凡妮娅的助理昨天给我打电话。,sītèfán nīyà de zhùlǐ zuótiān gěi wǒ dǎdiànhuà 。
Stefania’s assistant called twice.,斯蒂芬妮娅的助理打了两次电话。,sīdìfēn nīyà de zhùlǐ dǎ le liǎngcì diànhuà 。
Still it doesn’t turn on.,但还是打不开。,dàn háishi dǎbùkāi 。
Stop it!,停下来！,tíngxiàlái ！
Stress is the reason why you are always tired.,压力是你总是感到疲倦的原因。,yālì shì nǐ zǒngshì gǎndàopíjuàn de yuányīn 。
Take the road to Rome.,走上通往罗马的路。,zǒushàng tōngwǎng luómǎ de lù 。
Taste these arancini.,尝尝这些炸饭团。,chángcháng zhèxiē zhà fàntuán 。
Taste these cookies.,尝尝这些饼干。,chángcháng zhèxiē bǐnggān 。
Taste this hot chocolate with whipped cream.,品尝这款热巧克力和鲜奶油。,pǐncháng zhèkuǎn rè qiǎokèlì hé xiānnǎiyóu 。
Tell me more.,告诉我更多。,gàosu wǒ gēng duō 。
"Tell me, are you going to eat?",告诉我，你要吃饭吗？,gàosu wǒ ， nǐ yào chīfàn ma ？
Tell me!,告诉我！,gàosu wǒ ！
Tell me.,告诉我。,gàosu wǒ 。
Thank goodness that it’s not true!,谢天谢地，这不是真的！,xiètiānxièdì ， zhè bùshì zhēnde ！
Thank goodness that you’re feeling better.,谢天谢地，你感觉好多了。,xiètiānxièdì ， nǐ gǎnjué hǎoduō le 。
Thank goodness the flight arrived on time .,谢天谢地，航班准时到达。,xiètiānxièdì ， hángbān zhǔnshídàodá 。
Thank goodness the flight has been canceled.,谢天谢地，航班被取消了。,xiètiānxièdì ， hángbān bèi qǔxiāo le 。
Thank goodness the strike has been canceled.,谢天谢地，罢工已经取消了。,xiètiānxièdì ， bàgōng yǐjīng qǔxiāo le 。
Thank goodness!,谢天谢地！,xiètiānxièdì ！
Thank you for the invitation.,感谢你的邀请。,gǎnxiè nǐ de yāoqǐng 。
Thank you very much.,非常感谢。,fēichánggǎnxiè 。
"Thank you, I see it.",谢谢你，我看到了。,xièxie nǐ ， wǒ kàndào le 。
Thanks for coming.,感谢你的到来。,gǎnxiè nǐ de dàolái 。
Thanks.,谢谢。,xièxie 。
That American actor is so elegant!,那个美国演员好优雅啊！,nàgè měiguó yǎnyuán hǎo yōuyǎ a ！
That American film is so important!,那部美国电影太重要了！,nà bù měiguó diànyǐng tài zhòngyào le ！
That American writer is so interesting!,那个美国作家真有趣！,nàgè měiguózuòjiā zhēn yǒuqù ！
That Italian actor is so thrilling!,那个意大利演员太刺激了！,nàgè yìdàlì yǎnyuán tài cìjī le ！
That size is for Italians.,这个尺寸适合意大利人。,zhège chǐcùn shìhé yìdàlìrén 。
That stand there has some T-shirts.,那个摊位上有一些 T 恤。,nàgè tānwèi shàng yǒu yīxiē   t   xù 。
That T-shirt was made by a designer.,那件T恤是一位设计师设计的。,nà jiàn txù shì yīwèi shèjìshī shèjì de 。
That would be great.,那太好了。,nà tàihǎole 。
That’s a good idea.,这是个好主意。,zhè shì gè hǎo zhǔyi 。
That’s a lot of money.,那是很多钱。,nà shì hěnduō qián 。
That’s a lot.,好多啊。,hǎoduō a 。
That’s an extraordinary story.,这是一个非凡的故事。,zhèshì yīgè fēifán de gùshi 。
That’s fine.,没关系。,méiguānxi 。
That’s nice of you.,你人真好。,nǐ rén zhēn hǎo 。
That’s not a lot.,这并不多。,zhè bìngbùduō 。
That’s not many.,那并不多。,nà bìngbùduō 。
That’s right.,这是正确的。,zhèshì zhèngquè de 。
That’s shocking!,太令人震惊了！,tài lìngrénzhènjīng le ！
That’s too bad!,这太糟糕了！,zhètài zāogāo le ！
That’s too expensive.,那太贵了。,nà tàiguì le 。
That’s why you recommend this wine to us.,这就是您向我们推荐这款酒的原因。,zhè jiùshì nín xiàng wǒmen tuījiàn zhèkuǎn jiǔ de yuányīn 。
The actors have an extraordinary talent.,演员们都有非凡的才华。,yǎnyuán men dū yǒu fēifán de cáihuá 。
The adaptation of the book will come out soon.,该书的改编版即将面世。,gāishū de gǎibiān bǎn jíjiāng miànshì 。
The airline clerk didn’t do anything.,航空公司工作人员什么也没做。,hángkōnggōngsī gōngzuòrényuán shénme yě méi zuò 。
The airport was closed because of the strike.,机场因罢工而关闭。,jīchǎng yīn bàgōng ér guānbì 。
The appointment has been canceled.,预约已取消。,yùyuē yǐ qǔxiāo 。
The aquarium is near the pier.,水族馆就在码头附近。,shuǐzúguǎn jiù zài mǎtóu fùjìn 。
The aquarium is the largest in Italy the guidebook says.,导游手册称，该水族馆是意大利最大的水族馆。,dǎoyóu shǒucè chēng ， gāi shuǐzúguǎn shì yìdàlì zuìdà de shuǐzúguǎn 。
The aquarium is the largest in Italy.,该水族馆是意大利最大的水族馆。,gāi shuǐzúguǎn shì yìdàlì zuìdà de shuǐzúguǎn 。
"The aquarium is very large, even for Italy.",即使对于意大利来说，水族馆也很大。,jíshǐ duìyú yìdàlì láishuō ， shuǐzúguǎn yě hěndà 。
The article is about the painter.,此条目介绍的是画家。,cǐ tiáomù jièshào de shì huàjiā 。
The artist was at the gallery for an exhibition.,这位艺术家正在画廊参加一个展览。,zhèwèi yìshùjiā zhèngzài huàláng cānjiā yīgè zhǎnlǎn 。
The artist will be at the exhibition.,艺术家将出席展览。,yìshùjiā jiàng chūxí zhǎnlǎn 。
The artist will be there with her assistant.,艺术家将和她的助手一起出席。,yìshùjiā jiàng hé tā de zhùshǒu yīqǐ chūxí 。
The avenue is over there.,大道就在那边。,dàdào jiù zài nàbian 。
The bike path is next to the lake.,自行车道就在湖边。,zìxíngchēdào jiù zài húbiān 。
The book is on the table.,书在桌子上。,shū zài zhuōzi shàng 。
The boy is big.,男孩很大了。,nánhái hěndà le 。
The boyfriend is happy.,男朋友很高兴。,nánpéngyou hěn gāoxìng 。
The boys are very big.,男孩们都很大。,nánhái men dū hěndà 。
The buildings are so ancient!,这些建筑真是太古老了！,zhèxiē jiànzhù zhēnshìtài gǔlǎo le ！
The bus isn’t fast enough.,公交车速度不够快。,gōngjiāochē sùdù bùgòu kuài 。
The car rental agency called.,汽车租赁公司打来电话。,qìchē zūlìn gōngsī dǎ lái diànhuà 。
The chocolate cake is very good.,巧克力蛋糕非常好。,qiǎokèlì dàngāo fēicháng hǎo 。
The city commemorates a national holiday.,该市庆祝国庆节。,gāishì qìngzhù guóqìngjié 。
The city does the recycling every day?,城市每天都有回收吗？,chéngshì měitiān dū yǒu huíshōu ma ？
The city does the recycling every day.,该市每天都会进行回收工作。,gāishì měitiān dū huì jìnxíng huíshōu gōngzuò 。
The city is too crowded in high season.,旺季时这座城市太拥挤了。,wàngjì shí zhèzuò chéngshì tài yōngjǐ le 。
The city square,城市广场,chéngshì guǎngchǎng
The city was very crowded in high season.,旺季时这座城市非常拥挤。,wàngjì shí zhèzuò chéngshì fēicháng yōngjǐ 。
The clerk could not help us.,店员无法帮助我们。,diànyuán wúfǎ bāngzhù wǒmen 。
The concert begins at a quarter to four.,音乐会于四点一刻开始。,yīnyuèhuì yú sìdiǎn yīkè kāishǐ 。
The convent is isolated.,修道院是孤立的。,xiūdàoyuàn shì gūlì de 。
The count and the girl from Siena got married here.,伯爵和来自锡耶纳的女孩在这里举行了婚礼。,bójué hé láizì xīyēnà de nǚhái zài zhèlǐ jǔxíng le hūnlǐ 。
The count married a girl from Siena.,伯爵娶了一位来自锡耶纳的女孩。,bójué qǔ le yīwèi láizì xīyēnà de nǚhái 。
The count was in love with a girl from Siena.,伯爵爱上了一位来自锡耶纳的女孩。,bójué àishàng le yīwèi láizì xīyēnà de nǚhái 。
"The cross country skiing is fun, but I love the downhill.",越野滑雪很有趣，但我喜欢速降。,yuèyě huáxuě hěn yǒuqù ， dàn wǒ xǐhuan sùjiàng 。
The cruise has a relaxing view on the sea.,游轮上可以欣赏到轻松的海景。,yóulún shàng kěyǐ xīnshǎng dào qīngsōng de hǎijǐng 。
